model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ConvE,DBPedia50,2,50,37.54790258407593,265.00409865379333,0.0008703493555954398,0.16308684647083282,0.12124105011933174,0.1890214797136038,0.20835322195704056,0.2369928400954654,10160.964051253348,12030.765625,75.13659189822565,100,81.36649045865417,122.826,6.751158527777778
ConvE,DBPedia50,3,50,37.24658536911011,253.40827751159668,0.0009033122672843869,0.16808617115020752,0.12625298329355608,0.1957040572792363,0.2159904534606205,0.24033412887828162,10225.402603531946,12044.05078125,77.81267409470752,100,85.5333910167131,123.367,6.823663861111111
ConvE,DBPedia50,4,50,37.586243867874146,230.32351183891296,0.0008728832458223712,0.17285366356372833,0.13484486873508353,0.1937947494033413,0.21646778042959428,0.2431980906921241,10474.170757029773,11997.62890625,86.17618147448015,100,92.9124257088847,122.566,6.8264823888888895
ConvE,DBPedia50,5,50,37.529313802719116,262.0745532512665,0.0008597043913573489,0.17343635857105255,0.13174224343675417,0.19761336515513125,0.2217183770883055,0.24534606205250598,10408.067630833615,11976.37890625,77.79303347987826,100,84.3438302333446,122.645,6.9279085
ConvE,DBPedia50,6,50,37.87862944602966,258.5550124645233,0.0008894596658402561,0.17139320075511932,0.1305489260143198,0.1954653937947494,0.216945107398568,0.24463007159904535,10391.500978899572,11984.56640625,78.42324786324787,100,85.81650222222223,122.093,6.972590805555556
ComplEx,DBPedia50,2,50,25.295160055160522,1.3455886840820312,0.00041750615750503923,0.0009943210752680898,0.00023866348448687351,0.0009546539379474941,0.001431980906921241,0.001431980906921241,2118.6653421336205,11262.0625,35.51724137931034,79,62.52199137931035,109.838,0.40291950000000004
ComplEx,DBPedia50,3,50,25.044670820236206,1.3070764541625977,0.00040829116945335003,0.0007645662990398705,0.0,0.00023866348448687351,0.0007159904534606205,0.0011933174224343676,2123.064903846154,11259.03125,40.52488687782805,53,63.8961628959276,110.688,0.39225144444444443
ComplEx,DBPedia50,4,50,25.171276330947876,1.3001914024353027,0.00039393112167876063,0.0009681385126896203,0.00047732696897374703,0.00047732696897374703,0.00047732696897374703,0.00047732696897374703,2133.3597253363228,11260.53125,42.74887892376682,97,62.757793721973094,110.663,0.38874966666666666
ComplEx,DBPedia50,5,50,24.49115824699402,1.3253321647644043,0.00041017341288584585,0.0004722190788015723,0.0,0.0,0.0,0.00023866348448687351,2149.710077408257,11308.3828125,30.23394495412844,97,63.92192660550459,109.898,0.3870827777777778
ComplEx,DBPedia50,6,50,25.122722625732422,1.3476314544677734,0.00041373026254975853,0.001175158773548901,0.0007159904534606205,0.0009546539379474941,0.0009546539379474941,0.0009546539379474941,2156.255681818182,11302.0390625,26.84090909090909,97,63.348504545454546,105.031,0.38712975000000005
