model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ComplEx,Nations,1,50,28.594457626342773,0.05727052688598633,0.0004188338308670414,0.39239463210105896,0.1791044776119403,0.4527363184079602,0.6741293532338308,0.9477611940298507,1266.5316668725297,1289.05859375,13.300395256916996,28,8.436683794466404,9.321,0.05929113888888889
ComplEx,Nations,2,50,28.79757595062256,0.056713104248046875,0.0003941800995250302,0.39010852575302124,0.18159203980099503,0.4601990049751244,0.6791044776119403,0.945273631840796,1287.6643867341897,1312.875,21.055335968379445,34,11.325873517786562,34.216,0.07959572222222222
ComplEx,Nations,4,50,29.18227195739746,0.051367998123168945,0.0003966611940489007,0.41894203424453735,0.21890547263681592,0.48756218905472637,0.6865671641791045,0.945273631840796,1299.4570158102767,1314.59375,28.52173913043478,44,9.489,9.677,0.06668658333333334
ComplEx,Nations,7,50,29.273168563842773,0.08257794380187988,0.0005244885571880165,0.37532147765159607,0.16169154228855723,0.43283582089552236,0.6940298507462687,0.9552238805970149,1304.8833992094862,1317.8125,28.57707509881423,35,9.54604743083004,9.963,0.06708750000000001
ComplEx,Nations,11,50,29.8745698928833,0.05385541915893555,0.0005083577114473612,0.3956739008426666,0.18159203980099503,0.48009950248756217,0.6840796019900498,0.9626865671641791,1306.8142292490118,1325.625,27.32806324110672,35,9.642177865612648,9.943,0.06776308333333333
ConvE,Nations,1,50,28.552838802337646,0.09004974365234375,0.0009103895522525479,0.5867882966995239,0.40049751243781095,0.7189054726368159,0.8706467661691543,0.9875621890547264,1481.030225409836,1491.625,23.364754098360656,51,22.00368442622951,38.114,0.14913608333333334
ConvE,Nations,2,50,28.935851335525513,0.12749338150024414,0.0008864393034968433,0.6284670233726501,0.4601990049751244,0.7487562189054726,0.8656716417910447,0.9800995024875622,1495.0808971774193,1577.625,25.879032258064516,54,20.975737903225806,23.746,0.14449952777777778
ConvE,Nations,4,50,29.094379663467407,0.06649065017700195,0.0008722004974845898,0.6196248531341553,0.4626865671641791,0.6965174129353234,0.8557213930348259,0.9825870646766169,1496.3405870445345,1585.4375,25.46153846153846,55,20.417291497975707,23.346,0.14008530555555557
ConvE,Nations,7,50,28.648776531219482,0.07884073257446289,0.0012960268656719727,0.6053928136825562,0.42786069651741293,0.7288557213930348,0.8656716417910447,0.9875621890547264,1505.565625,1587.1875,24.479166666666668,55,21.032258333333335,23.425,0.14021505555555555
ConvE,Nations,11,50,28.86577868461609,0.07353544235229492,0.0008548189054355628,0.6029684543609619,0.4228855721393035,0.7238805970149254,0.8582089552238806,0.9776119402985075,1513.0420866935483,1595.625,26.27016129032258,55,21.29994758064516,23.823,0.14673297222222223
ConvKB,Nations,1,50,34.886292457580566,0.19925475120544434,0.0005767656716376784,0.6117487549781799,0.44029850746268656,0.7189054726368159,0.8432835820895522,0.9800995024875622,1636.9801229508196,3043.8125,29.04590163934426,78,25.51162950819672,26.27,0.21614019444444446
ConvKB,Nations,2,50,34.36888337135315,0.19459843635559082,0.0005155402984712227,0.6094802618026733,0.43283582089552236,0.7263681592039801,0.8582089552238806,0.9900497512437811,1636.234634551495,3051.875,30.790697674418606,78,26.27748504983389,43.354,0.21970897222222224
ConvKB,Nations,4,50,34.776381731033325,0.1979374885559082,0.0005420626865685987,0.6262230277061462,0.4502487562189055,0.746268656716418,0.8781094527363185,0.9900497512437811,1639.0484068627452,3044.5625,24.88235294117647,43,25.46250980392157,26.267,0.21643133333333336
ConvKB,Nations,7,50,34.68586254119873,0.19305753707885742,0.000503029353208307,0.6037805080413818,0.42039800995024873,0.7263681592039801,0.8681592039800995,0.9800995024875622,1624.7632172131148,3052.375,30.321311475409836,49,25.52404262295082,26.221,0.21624536111111115
ConvKB,Nations,11,50,34.748201847076416,0.19348978996276855,0.0005111840795534455,0.5861073732376099,0.4079601990049751,0.7014925373134329,0.8233830845771144,0.9651741293532339,1620.236987704918,3030.40625,30.147540983606557,78,25.688327868852458,26.99,0.21763722222222223
DistMult,Nations,1,50,27.265822172164917,0.05035591125488281,0.0004177278606945056,0.6252967715263367,0.4577114427860697,0.736318407960199,0.8432835820895522,0.9701492537313433,1291.6214989626556,3030.40625,20.012448132780083,26,11.616448132780082,36.011,0.07776566666666668
DistMult,Nations,2,50,27.250616312026978,0.04784345626831055,0.00034457810940707466,0.5929413437843323,0.4253731343283582,0.6791044776119403,0.8308457711442786,0.9651741293532339,1283.3869598765432,1290.40625,22.320987654320987,28,8.923139917695472,9.48,0.06023119444444445
DistMult,Nations,4,50,27.32431197166443,0.04774641990661621,0.0003424746268753203,0.528546154499054,0.3582089552238806,0.6044776119402985,0.7786069651741293,0.972636815920398,1282.624871399177,1289.65625,22.670781893004115,27,8.649049382716049,9.249,0.05838108333333334
DistMult,Nations,7,50,27.449497938156128,0.04709625244140625,0.00036169154223735764,0.566277801990509,0.38308457711442784,0.6791044776119403,0.8432835820895522,0.9800995024875622,1282.2182439271255,1289.09375,22.08502024291498,25,8.504558704453443,9.039,0.05835072222222222
DistMult,Nations,11,50,27.387511491775513,0.04968976974487305,0.0004533835820968388,0.5747402310371399,0.39303482587064675,0.6741293532338308,0.8407960199004975,0.9825870646766169,1281.2116071428572,1288.84375,22.208163265306123,26,8.344991836734694,8.735,0.05679230555555556
TransE,Nations,1,50,26.88871741294861,0.051629066467285156,0.00046593283581957497,0.3259725868701935,0.0,0.5572139303482587,0.7686567164179104,0.9601990049751243,1280.9826061320755,1288.46875,23.2311320754717,55,8.376,9.068,0.04932533333333333
TransE,Nations,2,50,26.906123638153076,0.04767346382141113,0.0004597323382967175,0.3278663456439972,0.0,0.5522388059701493,0.7711442786069652,0.9751243781094527,1277.248511904762,1287.78125,21.419047619047618,24,8.159580952380953,8.596,0.04759755555555556
TransE,Nations,4,50,26.980716705322266,0.057596445083618164,0.000394391542255985,0.32214075326919556,0.0,0.5522388059701493,0.7736318407960199,0.9800995024875622,1272.6304284037558,1282.96875,22.502347417840376,27,8.396910798122065,8.83,0.049681722222222224
TransE,Nations,7,50,26.794189929962158,0.05162811279296875,0.0004362213930383844,0.3200419545173645,0.0,0.527363184079602,0.7711442786069652,0.9800995024875622,1266.2330097087379,1277.15625,22.08252427184466,26,8.400699029126214,8.985,0.04807066666666667
TransE,Nations,11,50,26.79127287864685,0.047431230545043945,0.0005342910448216661,0.3287043273448944,0.0,0.5422885572139303,0.7786069651741293,0.9626865671641791,1263.2504573170731,1270.15625,22.497560975609755,28,7.986019512195122,8.779,0.045475944444444444
RotatE,Nations,1,50,27.772505044937134,0.05611371994018555,0.00043052388058305806,0.4848368763923645,0.26119402985074625,0.6243781094527363,0.7736318407960199,0.9552238805970149,1267.1009140316205,1274.90625,23.58102766798419,29,8.167691699604744,8.398,0.05740072222222223
RotatE,Nations,2,50,27.496623516082764,0.06377863883972168,0.0004153805970218941,0.48602917790412903,0.26119402985074625,0.6393034825870647,0.7736318407960199,0.9577114427860697,1266.2599146586344,1281.21875,22.76706827309237,29,8.263140562248996,8.67,0.05715338888888889
RotatE,Nations,4,50,27.410598754882812,0.052835702896118164,0.0004437527363304401,0.4868677258491516,0.26616915422885573,0.6442786069651741,0.7835820895522388,0.9552238805970149,1265.599362244898,1282.71875,22.65714285714286,27,8.421216326530612,8.964,0.05731105555555556
RotatE,Nations,7,50,27.457311630249023,0.05191969871520996,0.0004158213929955463,0.49508294463157654,0.2810945273631841,0.6393034825870647,0.7711442786069652,0.9626865671641791,1264.7434535573123,1279.59375,23.304347826086957,27,8.607770750988143,8.933,0.0604935
RotatE,Nations,11,50,27.40320110321045,0.06493473052978516,0.0006036815920292135,0.49184083938598633,0.27860696517412936,0.6218905472636815,0.7761194029850746,0.9751243781094527,1257.2535569105692,1281.34375,22.5,31,8.660939024390244,9.304,0.05918308333333333
R-GCN,Nations,1,50,63.686907052993774,0.14046335220336914,0.0008257900497763746,0.6193578839302063,0.44029850746268656,0.736318407960199,0.8706467661691543,0.9825870646766169,1650.5476918212478,1707.09375,32.26306913996628,60,24.386586846543,40.521,0.4017012777777778
R-GCN,Nations,2,50,61.53744578361511,0.13817501068115234,0.0008030815920369718,0.577318012714386,0.39303482587064675,0.7164179104477612,0.8507462686567164,0.972636815920398,1694.1049538664324,1748.09375,28.755711775043938,56,24.300096660808435,25.126,0.3840765277777778
R-GCN,Nations,4,50,60.8800585269928,0.19057631492614746,0.0008055751243940977,0.6246761679649353,0.44527363184079605,0.7512437810945274,0.8656716417910447,0.9701492537313433,1741.6554811072056,1797.90625,30.057996485061512,56,24.415365553602815,25.181,0.3858984166666667
R-GCN,Nations,7,50,64.12111568450928,0.13418936729431152,0.0008747194030244524,0.6330611705780029,0.4502487562189055,0.7686567164179104,0.8731343283582089,0.9776119402985075,1784.2530208333333,1838.59375,31.851666666666667,58,24.377145,25.15,0.40628575
R-GCN,Nations,11,50,61.20969009399414,0.14365696907043457,0.0007945189054995145,0.6441740989685059,0.47512437810945274,0.7686567164179104,0.8706467661691543,0.9875621890547264,1825.1931568541302,1880.59375,30.917398945518453,59,24.615263620386642,25.145,0.38905791666666667
ComplEx,DBpedia50,1,50,1598.6385343074799,32.152031660079956,0.00041527990453908784,0.0007370967068709433,0.0,0.0,0.0009546539379474941,0.0019093078758949881,1676.6595663225946,11865.5703125,22.342714312164414,100,16.23429334073937,55.518,7.306784861111112
ComplEx,DBpedia50,2,50,1597.0433661937714,48.81690573692322,0.0003991663961841887,0.0009193634614348412,0.0,0.0009546539379474941,0.001431980906921241,0.001431980906921241,1641.912833470847,11865.6328125,23.354602126879353,100,17.136101760176018,55.362,7.78835825
ComplEx,DBpedia50,4,50,1584.8900332450867,46.82379221916199,0.000420211312653628,0.000903566658962518,0.00023866348448687351,0.00047732696897374703,0.00047732696897374703,0.0007159904534606205,1585.709406317453,11848.4609375,24.446068455134135,100,18.910845883441258,56.913,8.517760166666667
ComplEx,DBpedia50,7,50,1586.5142314434052,44.667444944381714,0.0004186101670672579,0.000610854011029005,0.0,0.0,0.0,0.0011933174224343676,1628.2059919923681,11766.7734375,24.123280912735122,100,19.313195189639224,55.854,8.698985
ComplEx,DBpedia50,11,50,1586.9493219852448,45.818411111831665,0.0004123695465407683,0.0013303299201652408,0.0009546539379474941,0.0009546539379474941,0.0009546539379474941,0.0009546539379474941,1652.3646359686961,11793.0859375,23.01029085531181,100,19.449445772738475,58.176,8.767377944444444
