model,dataset,seed,epochs,train_time,eval_time,inference_time,mrr,hits@1,hits@3,hits@5,hits@10,gpu_mem_avg_MB,gpu_mem_peak_MB,gpu_util_avg_%,gpu_util_peak_%,gpu_power_avg_W,gpu_power_peak_W,gpu_energy_Wh
ConvE,WN18RR,2,50,288.23454236984253,4.869526624679565,0.0007956016925959842,0.14690768718719482,0.09165526675786594,0.17048563611491108,0.20964432284541723,0.25170998632010944,1145.15312170706,3883.1875,23.46856340007025,100,99.09334808570425,401.768,7.836632277777778
ConvE,WN18RR,3,50,255.5908763408661,4.386223316192627,0.0007443705741851177,0.13903707265853882,0.08327633378932968,0.1639876880984952,0.19955540355677154,0.24658002735978113,1178.5935893633848,3863.1875,26.512060102807435,100,105.06242071965204,400.798,7.380635055555556
ConvE,WN18RR,4,50,249.71283674240112,4.377685785293579,0.00024730522343544887,0.14836899936199188,0.09233926128590972,0.17390560875512995,0.21272229822161423,0.2585499316005472,1177.6485363117094,3863.1875,27.158302733578132,100,106.44034353325173,400.548,7.2468133888888895
ConvE,WN18RR,5,50,137.2861931324005,3.946580171585083,0.00024992413691432303,0.14861392974853516,0.09302325581395349,0.17305061559507523,0.20861833105335156,0.2607729138166895,1197.015988372093,3863.1875,47.89171511627907,100,157.2241402616279,401.832,6.009456027777778
ConvE,WN18RR,6,50,137.85715198516846,3.950814723968506,0.000247895676533089,0.14455486834049225,0.0911422708618331,0.16963064295485636,0.2024623803009576,0.24897400820793433,1196.5523255813953,3863.1875,47.79287790697674,100,157.3156039244186,402.032,6.012951972222223
ComplEx,WN18RR,2,50,79.89517998695374,1.0004796981811523,0.00012715583859538982,0.0014292378909885883,0.0,0.0,0.0001709986320109439,0.0010259917920656635,1203.8767067620286,4611.1875,50.61768530559168,100,145.34884005201562,181.888,3.1048127222222224
ComplEx,WN18RR,3,50,80.53470873832703,0.9123303890228271,0.000115773817982968,0.0014188130153343081,0.0,0.0,0.0,0.0003419972640218878,1204.4924095607234,4611.1875,50.2906976744186,100,144.33473514211886,190.404,3.1031968055555557
ComplEx,WN18RR,4,50,133.14672422409058,1.7773199081420898,0.0003705701851903903,0.0014597991248592734,0.0,0.0001709986320109439,0.0001709986320109439,0.0006839945280437756,1209.3122040252565,4611.1875,30.547750591949487,87,103.5456724546172,174.677,3.644232416666667
ComplEx,WN18RR,5,50,105.6041932106018,0.9130420684814453,0.00011538641868737589,0.0015412020729854703,0.0001709986320109439,0.0001709986320109439,0.0001709986320109439,0.0008549931600547196,1199.9878972194638,4611.1875,38.459781529294936,100,119.1047358490566,187.526,3.331624138888889
ComplEx,WN18RR,6,50,79.34627509117126,0.9114763736724854,0.00011347561581608127,0.001452062395401299,0.0,0.0001709986320109439,0.0005129958960328317,0.0011969904240766074,1204.6770287958116,4611.1875,51.02748691099477,100,145.8005431937173,189.6,3.094211527777778
